year,month,district_Name,mandal_Name,panchayat_Name,gplgdcode,total_No_of_Application_Received,no_of_Application_Under_Process_At_GP,no_of_Application_Under_Process_AT_DTCP,no_of_Application_Approve_with_in_BSLA,no_of_Application_Approve_Beyond_BSLA,no_of_Application_Proceeding_Upload_with_in_SLA,no_of_Application_Proceeding_Upload_Beyond_SLA,no_of_Application_Reject_With_in_BSLA,no_of_Application_Reject_Beyond_BSLA,total_Fee,harithaNidhi,totalFeesWithHarithaNidhi
2024,November,Adilabad,Adilabad,Chanda,194914,2,1,0,1,0,0,0,0,0,5644.6,0,0
2024,November,Adilabad,Adilabad,Landasangvi,194921,1,1,0,0,0,0,0,0,0,0,0,0
2024,November,Adilabad,Bela,Bela,194983,3,1,0,1,0,0,1,0,0,3395.3,0,0
2024,November,Adilabad,Bela,Sangdi,194996,2,0,0,2,0,0,0,0,0,1195,0,0
2024,November,Adilabad,Boath,Beerlagondi,281185,1,0,0,1,0,0,0,0,0,4337.2,0,0
2024,November,Adilabad,Boath,Boath (B),195047,6,0,0,2,0,0,4,0,0,33213.2,0,0
2024,November,Adilabad,Boath,Pochera,195059,3,0,0,3,0,0,0,0,0,13152.9,0,0
2024,November,Adilabad,Boath,Sonala,195061,3,0,0,1,0,0,2,0,0,9886,0,0
2024,November,Adilabad,Gudihathnur,Gudihathinur,195134,1,1,0,0,0,0,0,0,0,0,0,0
2024,November,Adilabad,Gudihathnur,Kolhari,195136,2,1,1,0,0,0,0,0,0,0,0,0
2024,November,Adilabad,Gudihathnur,Mannur,195139,2,0,0,1,0,0,1,0,0,3146.6,0,0
2024,November,Adilabad,Ichoda,Adegaon K,195145,1,1,0,0,0,0,0,0,0,0,0,0
2024,November,Adilabad,Jainad,Kura,195198,1,0,0,0,0,0,1,0,0,1799.8,0,0
2024,November,Adilabad,Mavala ,Battisawargoan,194912,2,0,0,2,0,0,0,0,0,1392.7,0,0
2024,November,Adilabad,Mavala ,Mavala,194923,6,5,0,1,0,0,0,0,0,0,0,0
2024,November,Adilabad,Neradigonda,Neradigonda,195571,6,0,0,2,0,0,4,0,0,56503.6,0,0
2024,November,Adilabad,Neradigonda,Tejapur,195575,1,0,0,1,0,0,0,0,0,2230.4,0,0
2024,November,Adilabad,Neradigonda,Waddur,195577,1,0,0,1,0,0,0,0,0,1144.8,0,0
2024,November,Adilabad,Sirikonda,Sirikonda,195161,1,0,0,1,0,0,0,0,0,2131.9,0,0
2024,November,Bhadradri Kothagudem,Aswapuram,Kalyanapuram,279483,1,1,0,0,0,0,0,0,0,0,0,0
2024,November,Bhadradri Kothagudem,Aswapuram,Mondikunta,202130,1,1,0,0,0,0,0,0,0,0,0,0
2024,November,Bhadradri Kothagudem,Aswaraopeta,Aswaraopeta,202136,25,19,0,1,0,0,0,0,5,10772.8,0,0
2024,November,Bhadradri Kothagudem,Aswaraopeta,Peraigudem,202147,4,1,0,0,0,0,0,3,0,0,0,0
2024,November,Bhadradri Kothagudem,Bhadrachalam,Bhadrachalam,245211,1,1,0,0,0,0,0,0,0,0,0,0
2024,November,Bhadradri Kothagudem,Burgampadu,Burgampahad,202201,1,0,0,0,0,0,1,0,0,3303.5,0,0
2024,November,Bhadradri Kothagudem,Burgampadu,Lakshmipuram,202204,1,0,0,0,0,0,1,0,0,16618.5,0,0
2024,November,Bhadradri Kothagudem,Dammapeta,Dammapeta,202282,2,2,0,0,0,0,0,0,0,0,0,0
2024,November,Bhadradri Kothagudem,Dummugudem,Mulkapadu,279707,3,3,0,0,0,0,0,0,0,0,0,0
2024,November,Bhadradri Kothagudem,Dummugudem,Turubaka,202318,2,0,0,0,0,0,0,2,0,0,0,0
2024,November,Bhadradri Kothagudem,Sujathanagar ,Nayakulagudem,280344,2,1,0,1,0,0,0,0,0,11893,0,0
2024,November,Bhadradri Kothagudem,Sujathanagar ,Nimmalagudem,280351,1,1,0,0,0,0,0,0,0,0,0,0
2024,November,Bhadradri Kothagudem,Sujathanagar ,Sujathanagar,202493,5,2,0,2,0,0,0,0,1,22332,0,0
2024,November,Hanumakonda,Atmakur,House Buzurg,213264,2,1,0,1,0,0,0,0,0,4739.2,0,0
2024,November,Hanumakonda,Atmakur,Katakshapur,279761,1,1,0,0,0,0,0,0,0,0,0,0
2024,November,Hanumakonda,Bheemadevarpalle,Bheemdevarapalli,200960,1,0,0,1,0,0,0,0,0,0,0,0
2024,November,Hanumakonda,Bheemadevarpalle,Kothakonda,200969,3,0,0,2,0,0,1,0,0,25090.9,0,0
2024,November,Hanumakonda,Bheemadevarpalle,Manikyapoor,200972,3,1,0,1,0,0,0,1,0,11579.6,0,0
2024,November,Hanumakonda,Bheemadevarpalle,Mustafapoor,200974,1,0,0,1,0,0,0,0,0,6600,0,0
2024,November,Hanumakonda,Bheemadevarpalle,Vangara,200979,2,0,0,1,0,0,1,0,0,14486.6,0,0
2024,November,Hanumakonda,Inavolue ,Ramnagar,278029,1,0,0,1,0,0,0,0,0,0,0,0
2024,November,Hanumakonda,Kamalapur,Bheempalli,201357,2,2,0,0,0,0,0,0,0,0,0,0
2024,November,Hanumakonda,Kamalapur,Gopalpur,201359,3,3,0,0,0,0,0,0,0,0,0,0
2024,November,Hanumakonda,Kamalapur,Kannur,201365,1,0,0,1,0,0,0,0,0,5920,0,0
2024,November,Hanumakonda,Kamalapur,Marripelli,201367,1,0,0,1,0,0,0,0,0,7669.7,0,0
2024,November,Hanumakonda,Kamalapur,Vangapelli,201375,1,0,0,1,0,0,0,0,0,1196.7,0,0
2024,November,Hanumakonda,NADIKUDA,Choutuparthi,214014,2,2,0,0,0,0,0,0,0,0,0,0
2024,November,Hanumakonda,NADIKUDA,Kowkonda,214018,2,0,0,1,0,0,0,1,0,3905.6,0,0
2024,November,Hanumakonda,NADIKUDA,Musthyalapalle,214022,2,0,0,0,0,0,2,0,0,10642.8,0,0
2024,November,Hanumakonda,NADIKUDA,Nadikuda,214023,4,1,0,3,0,0,0,0,0,22123.4,0,0
2024,November,Hanumakonda,NADIKUDA,Narsakkapally,214026,3,0,0,3,0,0,0,0,0,17932.6,0,0
2024,November,Hanumakonda,NADIKUDA,Ramakistapoor,214031,1,0,0,1,0,0,0,0,0,9281.9,0,0
2024,November,Hanumakonda,NADIKUDA,Varikole,214032,1,0,0,1,0,0,0,0,0,3311.9,0,0
2024,November,Hanumakonda,Parkal,Vellampalle,214033,1,0,0,1,0,0,0,0,0,6404.6,0,0
2024,November,Hanumakonda,Parkal,Venkatapoor,214034,2,0,0,2,0,0,0,0,0,4741.3,0,0
2024,November,Hanumakonda,Shayampet,Gangirenigudem,214156,2,0,0,2,0,0,0,0,0,2121.4,0,0
2024,November,Hanumakonda,Shayampet,Katrapalle,214161,5,0,0,2,0,0,0,3,0,11736.3,0,0
2024,November,Hanumakonda,Shayampet,Koppula,214162,1,0,0,1,0,0,0,0,0,0,0,0
2024,November,Hanumakonda,Shayampet,Kothagattu Singaram,214163,1,0,0,1,0,0,0,0,0,0,0,0
2024,November,Hanumakonda,Shayampet,Mylaram,214164,3,0,0,3,0,0,0,0,0,12552.9,0,0
